id	name	inchikey
DB00001	Lepirudin	
DB00002	Cetuximab	
DB00003	Dornase alfa	
DB00004	Denileukin diftitox	
DB00005	Etanercept	
DB00006	Bivalirudin	OIRCOABEOLEUMC-GEJPAHFPSA-N
DB00007	Leuprolide	GFIJNRVAKGFPGQ-LIJARHBVSA-N
DB00008	Peginterferon alfa-2a	
DB00009	Alteplase	
DB00010	Sermorelin	
DB00011	Interferon alfa-n1	
DB00012	Darbepoetin alfa	
DB00013	Urokinase	
DB00014	Goserelin	BLCLNMBMMGCOAS-URPVMXJPSA-N
DB00015	Reteplase	
DB00016	Erythropoietin	
DB00017	Salmon calcitonin	
DB00018	Interferon alfa-n3	
DB00019	Pegfilgrastim	
DB00020	Sargramostim	
DB00022	Peginterferon alfa-2b	
DB00023	Asparaginase Escherichia coli	
DB00024	Thyrotropin alfa	
DB00025	Antihemophilic factor, human recombinant	
DB00026	Anakinra	
DB00027	Gramicidin D	NDAYQJDHGXTBJL-MWWSRJDJSA-N
DB00028	Human immunoglobulin G	
DB00029	Anistreplase	
DB00030	Insulin human	
DB00031	Tenecteplase	
DB00032	Menotropins	
DB00033	Interferon gamma-1b	
DB00034	Interferon alfa-2a, Recombinant	
DB00035	Desmopressin	NFLWUMRGJYTJIN-PNIOQBSNSA-N
DB00036	Coagulation factor VIIa Recombinant Human	
DB00038	Oprelvekin	
DB00039	Palifermin	
DB00040	Glucagon	
DB00041	Aldesleukin	
DB00042	Botulinum Toxin Type B	
DB00043	Omalizumab	
DB00044	Lutropin alfa	
DB00045	Lyme disease vaccine (recombinant OspA)	
DB00046	Insulin lispro	
DB00047	Insulin glargine	
DB00048	Collagenase clostridium histolyticum	
DB00049	Rasburicase	
DB00050	Cetrorelix	SBNPWPIBESPSIF-MHWMIDJBSA-N
DB00051	Adalimumab	
DB00052	Somatotropin	
DB00053	Imiglucerase	
DB00054	Abciximab	
DB00055	Drotrecogin alfa	
DB00056	Gemtuzumab ozogamicin	
DB00057	Indium In-111 satumomab pendetide	
DB00058	Alpha-1-proteinase inhibitor	
DB00059	Pegaspargase	
DB00060	Interferon beta-1a	
DB00061	Pegademase	
DB00062	Albumin human	
DB00063	Eptifibatide	
DB00065	Infliximab	
DB00066	Follitropin	
DB00067	Vasopressin	JLTCWSBVQSZVLT-UHFFFAOYSA-N
DB00068	Interferon beta-1b	
DB00069	Interferon alfacon-1	
DB00070	Hyaluronidase (ovine)	
DB00071	Insulin pork	
DB00072	Trastuzumab	
DB00073	Rituximab	
DB00074	Basiliximab	
DB00075	Muromonab	
DB00076	Digoxin Immune Fab (Ovine)	
DB00078	Ibritumomab tiuxetan	
DB00080	Daptomycin	DOAKLVKFURWEDJ-QCMAZARJSA-N
DB00081	Tositumomab	
DB00082	Pegvisomant	
DB00083	Botulinum toxin type A	
DB00085	Pancrelipase	
DB00086	Streptokinase	
DB00087	Alemtuzumab	
DB00088	Alglucerase	
DB00089	Capromab pendetide	
DB00090	Laronidase	
DB00091	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00092	Alefacept	
DB00093	Felypressin	SFKQVVDKFKYTNA-DZCXQCEKSA-N
DB00094	Urofollitropin	
DB00095	Efalizumab	
DB00097	Choriogonadotropin alfa	
DB00098	Antithymocyte immunoglobulin (rabbit)	
DB00099	Filgrastim	
DB00100	Coagulation Factor IX (Recombinant)	
DB00102	Becaplermin	
DB00103	Agalsidase beta	
DB00104	Octreotide	DEQANNDTNATYII-OULOTJBUSA-N
DB00105	Interferon alfa-2b	
DB00106	Abarelix	AIWRTTMUVOZGPW-HSPKUQOVSA-N
DB00107	Oxytocin	
DB00108	Natalizumab	
DB00109	Enfuvirtide	
DB00110	Palivizumab	
DB00111	Daclizumab	
DB00112	Bevacizumab	
DB00113	Technetium Tc-99m arcitumomab	
DB00114	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00115	Cyanocobalamin	RMRCNWBMXRMIRW-WZHZPDAFSA-L
DB00116	Tetrahydrofolic acid	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00117	Histidine	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00118	Ademetionine	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00119	Pyruvic acid	LCTONWCANYUPML-UHFFFAOYSA-N
DB00120	Phenylalanine	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00121	Biotin	YBJHBAHKTGYVGT-ZKWXMUAHSA-N
DB00122	Choline	OEYIOHPDSNJKLS-UHFFFAOYSA-N
DB00123	L-Lysine	KDXKERNSBIXSRK-YFKPBYRVSA-N
DB00125	Arginine	ODKSFYDXXFIFQN-BYPYZUCNSA-N
DB00126	Ascorbic acid	CIWBSHSKHKDKBQ-JLAZNSOCSA-N
DB00127	Spermine	PFNFFQXMRSDOHW-UHFFFAOYSA-N
DB00128	Aspartic acid	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00129	Ornithine	AHLPHDHHMVZTML-BYPYZUCNSA-N
DB00130	L-Glutamine	ZDXPYRJPNDTMRX-VKHMYHEASA-N
DB00131	Adenosine phosphate	UDMBCSSLTHHNCD-KQYNXXCUSA-N
DB00132	alpha-Linolenic acid	DTOSIQBPPRVQHS-PDBXOOCHSA-N
DB00133	Serine	MTCFGRXMJLQNBG-REOHCLBHSA-N
DB00134	Methionine	FFEARJCKVFRZRR-BYPYZUCNSA-N
DB00135	Tyrosine	OUYCCCASQSFEME-QMMMGPOBSA-N
